X,targetNum,guess
1,1,50
2,1,25
3,1,12
4,1,6
5,1,3
6,1,1
1,2,50
2,2,25
3,2,12
4,2,6
5,2,3
6,2,1
7,2,2
1,3,50
2,3,25
3,3,12
4,3,6
5,3,3
1,4,50
2,4,25
3,4,12
4,4,6
5,4,3
6,4,4
1,5,50
2,5,25
3,5,12
4,5,6
5,5,3
6,5,4
7,5,5
1,6,50
2,6,25
3,6,12
4,6,6
1,7,50
2,7,25
3,7,12
4,7,6
5,7,9
6,7,7
1,8,50
2,8,25
3,8,12
4,8,6
5,8,9
6,8,7
7,8,8
1,9,50
2,9,25
3,9,12
4,9,6
5,9,9
1,10,50
2,10,25
3,10,12
4,10,6
5,10,9
6,10,10
1,11,50
2,11,25
3,11,12
4,11,6
5,11,9
6,11,10
7,11,11
1,12,50
2,12,25
3,12,12
1,13,50
2,13,25
3,13,12
4,13,18
5,13,15
6,13,13
1,14,50
2,14,25
3,14,12
4,14,18
5,14,15
6,14,13
7,14,14
1,15,50
2,15,25
3,15,12
4,15,18
5,15,15
1,16,50
2,16,25
3,16,12
4,16,18
5,16,15
6,16,16
1,17,50
2,17,25
3,17,12
4,17,18
5,17,15
6,17,16
7,17,17
1,18,50
2,18,25
3,18,12
4,18,18
1,19,50
2,19,25
3,19,12
4,19,18
5,19,21
6,19,19
1,20,50
2,20,25
3,20,12
4,20,18
5,20,21
6,20,19
7,20,20
1,21,50
2,21,25
3,21,12
4,21,18
5,21,21
1,22,50
2,22,25
3,22,12
4,22,18
5,22,21
6,22,23
7,22,22
1,23,50
2,23,25
3,23,12
4,23,18
5,23,21
6,23,23
1,24,50
2,24,25
3,24,12
4,24,18
5,24,21
6,24,23
7,24,24
1,25,50
2,25,25
1,26,50
2,26,25
3,26,37
4,26,31
5,26,28
6,26,26
1,27,50
2,27,25
3,27,37
4,27,31
5,27,28
6,27,26
7,27,27
1,28,50
2,28,25
3,28,37
4,28,31
5,28,28
1,29,50
2,29,25
3,29,37
4,29,31
5,29,28
6,29,29
1,30,50
2,30,25
3,30,37
4,30,31
5,30,28
6,30,29
7,30,30
1,31,50
2,31,25
3,31,37
4,31,31
1,32,50
2,32,25
3,32,37
4,32,31
5,32,34
6,32,32
1,33,50
2,33,25
3,33,37
4,33,31
5,33,34
6,33,32
7,33,33
1,34,50
2,34,25
3,34,37
4,34,31
5,34,34
1,35,50
2,35,25
3,35,37
4,35,31
5,35,34
6,35,35
1,36,50
2,36,25
3,36,37
4,36,31
5,36,34
6,36,35
7,36,36
1,37,50
2,37,25
3,37,37
1,38,50
2,38,25
3,38,37
4,38,43
5,38,40
6,38,38
1,39,50
2,39,25
3,39,37
4,39,43
5,39,40
6,39,38
7,39,39
1,40,50
2,40,25
3,40,37
4,40,43
5,40,40
1,41,50
2,41,25
3,41,37
4,41,43
5,41,40
6,41,41
1,42,50
2,42,25
3,42,37
4,42,43
5,42,40
6,42,41
7,42,42
1,43,50
2,43,25
3,43,37
4,43,43
1,44,50
2,44,25
3,44,37
4,44,43
5,44,46
6,44,44
1,45,50
2,45,25
3,45,37
4,45,43
5,45,46
6,45,44
7,45,45
1,46,50
2,46,25
3,46,37
4,46,43
5,46,46
1,47,50
2,47,25
3,47,37
4,47,43
5,47,46
6,47,48
7,47,47
1,48,50
2,48,25
3,48,37
4,48,43
5,48,46
6,48,48
1,49,50
2,49,25
3,49,37
4,49,43
5,49,46
6,49,48
7,49,49
1,50,50
1,51,50
2,51,75
3,51,62
4,51,56
5,51,53
6,51,51
1,52,50
2,52,75
3,52,62
4,52,56
5,52,53
6,52,51
7,52,52
1,53,50
2,53,75
3,53,62
4,53,56
5,53,53
1,54,50
2,54,75
3,54,62
4,54,56
5,54,53
6,54,54
1,55,50
2,55,75
3,55,62
4,55,56
5,55,53
6,55,54
7,55,55
1,56,50
2,56,75
3,56,62
4,56,56
1,57,50
2,57,75
3,57,62
4,57,56
5,57,59
6,57,57
1,58,50
2,58,75
3,58,62
4,58,56
5,58,59
6,58,57
7,58,58
1,59,50
2,59,75
3,59,62
4,59,56
5,59,59
1,60,50
2,60,75
3,60,62
4,60,56
5,60,59
6,60,60
1,61,50
2,61,75
3,61,62
4,61,56
5,61,59
6,61,60
7,61,61
1,62,50
2,62,75
3,62,62
1,63,50
2,63,75
3,63,62
4,63,68
5,63,65
6,63,63
1,64,50
2,64,75
3,64,62
4,64,68
5,64,65
6,64,63
7,64,64
