gameID,X,targetNum,guess
1,1,86,83
1,2,86,87
1,3,86,86
2,1,66,82
2,2,66,2
2,3,66,81
2,4,66,80
2,5,66,6
2,6,66,70
2,7,66,12
2,8,66,56
2,9,66,61
2,10,66,63
2,11,66,69
2,12,66,65
2,13,66,67
2,14,66,66
3,1,46,32
3,2,46,41
3,3,46,76
3,4,46,74
3,5,46,73
3,6,46,46
4,1,24,100
4,2,24,27
4,3,24,2
4,4,24,4
4,5,24,25
4,6,24,5
4,7,24,10
4,8,24,11
4,9,24,18
4,10,24,21
4,11,24,22
4,12,24,24
5,1,65,44
5,2,65,53
5,3,65,54
5,4,65,90
5,5,65,60
5,6,65,68
5,7,65,65
6,1,3,46
6,2,3,38
6,3,3,33
6,4,3,4
6,5,3,2
6,6,3,3
7,1,34,3
7,2,34,16
7,3,34,19
7,4,34,37
7,5,34,29
7,6,34,33
7,7,34,36
7,8,34,34
8,1,91,99
8,2,91,95
8,3,91,48
8,4,91,60
8,5,91,82
8,6,91,94
8,7,91,87
8,8,91,88
8,9,91,90
8,10,91,91
9,1,3,51
9,2,3,17
9,3,3,4
9,4,3,1
9,5,3,3
10,1,79,51
10,2,79,55
10,3,79,97
10,4,79,90
10,5,79,71
10,6,79,81
10,7,79,78
10,8,79,79
11,1,35,35
12,1,84,3
12,2,84,93
12,3,84,55
12,4,84,81
12,5,84,89
12,6,84,88
12,7,84,85
12,8,84,82
12,9,84,84
13,1,54,48
13,2,54,79
13,3,54,57
13,4,54,54
14,1,35,15
14,2,35,16
14,3,35,78
14,4,35,30
14,5,35,66
14,6,35,50
14,7,35,49
14,8,35,46
14,9,35,31
14,10,35,39
14,11,35,38
14,12,35,37
14,13,35,35
15,1,88,1
15,2,88,77
15,3,88,88
16,1,72,81
16,2,72,46
16,3,72,51
16,4,72,73
16,5,72,66
16,6,72,67
16,7,72,72
17,1,92,61
17,2,92,69
17,3,92,95
17,4,92,88
17,5,92,89
17,6,92,93
17,7,92,92
18,1,73,26
18,2,73,84
18,3,73,71
18,4,73,83
18,5,73,78
18,6,73,73
19,1,89,99
19,2,89,2
19,3,89,94
19,4,89,42
19,5,89,56
19,6,89,62
19,7,89,68
19,8,89,82
19,9,89,89
20,1,25,10
20,2,25,87
20,3,25,51
20,4,25,27
20,5,25,26
20,6,25,11
20,7,25,16
20,8,25,21
20,9,25,22
20,10,25,25
21,1,59,68
21,2,59,1
21,3,59,46
21,4,59,66
21,5,59,55
21,6,59,64
21,7,59,60
21,8,59,57
21,9,59,58
21,10,59,59
22,1,83,12
22,2,83,13
22,3,83,70
22,4,83,73
22,5,83,74
22,6,83,94
22,7,83,85
22,8,83,82
22,9,83,83
23,1,51,29
23,2,51,57
23,3,51,50
23,4,51,56
23,5,51,52
23,6,51,51
24,1,83,40
24,2,83,60
24,3,83,71
24,4,83,89
24,5,83,87
24,6,83,77
24,7,83,83
25,1,23,13
25,2,23,60
25,3,23,21
25,4,23,58
25,5,23,24
25,6,23,23
26,1,91,21
26,2,91,84
26,3,91,97
26,4,91,96
26,5,91,87
26,6,91,92
26,7,91,91
27,1,23,87
27,2,23,42
27,3,23,18
27,4,23,27
27,5,23,20
27,6,23,25
27,7,23,24
27,8,23,21
27,9,23,23
28,1,29,69
28,2,29,15
28,3,29,38
28,4,29,22
28,5,29,33
28,6,29,32
28,7,29,26
28,8,29,31
28,9,29,28
28,10,29,29
29,1,57,83
29,2,57,41
29,3,57,59
29,4,57,50
29,5,57,58
29,6,57,55
29,7,57,56
29,8,57,57
30,1,91,49
30,2,91,60
30,3,91,71
30,4,91,95
30,5,91,80
30,6,91,84
30,7,91,94
30,8,91,85
30,9,91,90
30,10,91,92
30,11,91,91
31,1,98,88
31,2,98,93
31,3,98,100
31,4,98,95
31,5,98,96
31,6,98,99
31,7,98,97
31,8,98,98
32,1,14,62
32,2,14,16
32,3,14,5
32,4,14,9
32,5,14,13
32,6,14,14
33,1,8,32
33,2,8,18
33,3,8,6
33,4,8,15
33,5,8,9
33,6,8,7
33,7,8,8
34,1,64,58
34,2,64,70
34,3,64,63
34,4,64,67
34,5,64,64
35,1,32,7
35,2,32,62
35,3,32,38
35,4,32,22
35,5,32,25
35,6,32,28
35,7,32,32
36,1,13,5
36,2,13,82
36,3,13,29
36,4,13,18
36,5,13,7
36,6,13,16
36,7,13,14
36,8,13,8
36,9,13,9
36,10,13,13
37,1,93,19
37,2,93,57
37,3,93,64
37,4,93,76
37,5,93,79
37,6,93,97
37,7,93,90
37,8,93,93
38,1,90,77
38,2,90,99
38,3,90,87
38,4,90,97
38,5,90,92
38,6,90,91
38,7,90,89
38,8,90,90
39,1,16,94
39,2,16,81
39,3,16,68
39,4,16,66
39,5,16,64
39,6,16,6
39,7,16,48
39,8,16,38
39,9,16,35
39,10,16,12
39,11,16,26
39,12,16,25
39,13,16,15
39,14,16,24
39,15,16,23
39,16,16,17
39,17,16,16
40,1,57,34
40,2,57,41
40,3,57,71
40,4,57,47
40,5,57,61
40,6,57,58
40,7,57,52
40,8,57,56
40,9,57,57
41,1,21,98
41,2,21,34
41,3,21,13
41,4,21,31
41,5,21,20
41,6,21,24
41,7,21,21
42,1,79,83
42,2,79,67
42,3,79,81
42,4,79,69
42,5,79,79
43,1,19,75
43,2,19,58
43,3,19,44
43,4,19,18
43,5,19,32
43,6,19,28
43,7,19,23
43,8,19,22
43,9,19,19
44,1,55,34
44,2,55,71
44,3,55,63
44,4,55,43
44,5,55,47
44,6,55,54
44,7,55,57
44,8,55,56
44,9,55,55
45,1,39,41
45,2,39,23
45,3,39,34
45,4,39,40
45,5,39,38
45,6,39,39
46,1,2,87
46,2,2,45
46,3,2,40
46,4,2,12
46,5,2,8
46,6,2,6
46,7,2,2
47,1,92,54
47,2,92,72
47,3,92,99
47,4,92,78
47,5,92,79
47,6,92,90
47,7,92,96
47,8,92,93
47,9,92,92
48,1,45,93
48,2,45,87
48,3,45,13
48,4,45,57
48,5,45,29
48,6,45,32
48,7,45,40
48,8,45,51
48,9,45,48
48,10,45,42
48,11,45,43
48,12,45,47
48,13,45,46
48,14,45,44
48,15,45,45
49,1,98,5
