gameId,user,targetNum,startTime,duration,finishTime,numGuesses,guess1,guess2,guess3,guess4,guess5,guess6,guess7,guess8,guess9,guess10,guess11,guess12,guess13,guess14,guess15,guess16,guess17,guess18,guess19,guess20
a6d0fa4f-6efa-43f4-9d63-6575f31eb5a2,2604,5,2019-09-21 11:18:51.139,46,2019-09-21 11:19:37.088,6,41,39,20,10,7,5,,,,,,,,,,,,,,
27b85f0d-cc3d-45fd-825b-3eb23381c70f,745,12,2019-09-21 11:19:32.344,34,2019-09-21 11:20:06.389,7,52,38,10,24,20,40,12,,,,,,,,,,,,,
5906973a-3c8f-4a30-a513-c75ede4f59be,745,67,2019-09-21 11:20:19.084,87,2019-09-21 11:21:46.455,14,10,34,53,54,60,70,61,3,63,66,69,68,7,67,,,,,,
b4af0384-23dc-4715-9b9e-c89d80c1505e,745,87,2019-09-21 11:21:59.364,91,2019-09-21 11:23:30.844,13,100,61,70,71,73,29,79,1,81,91,89,88,87,,,,,,,
5dc054b8-d984-42cb-b4ac-18db39f6df87,745,49,2019-09-21 11:23:43.418,150,2019-09-21 11:26:13.214,20,100,21,91,1,81,71,2,61,51,41,42,43,44,5,45,46,52,47,40,49
5bf4f71b-92cd-460c-81af-181adf5ddb32,2907,44,2019-09-21 11:24:43.279,72,2019-09-21 11:25:54.891,11,64,30,35,36,80,40,50,41,45,43,44,,,,,,,,,
153f14fa-5b7c-4d1e-9f90-210b8722c21f,745,3,2019-09-21 11:26:41.290,58,2019-09-21 11:27:38.956,11,82,71,60,50,40,10,9,8,7,6,3,,,,,,,,,
54992a24-bbb8-43a5-8a11-db061c610d99,745,37,2019-09-21 11:27:51.816,123,2019-09-21 11:29:54.529,11,74,2,52,10,20,30,40,6,36,38,37,,,,,,,,,
d85341ee-6557-4db5-96b9-9c05cbec86c8,523,74,2019-09-21 11:28:02.996,86,2019-09-21 11:29:28.545,14,1,10,50,20,70,100,99,90,80,70,71,72,73,74,,,,,,
852dbda6-4320-4c6e-bf3e-5423c362d082,523,54,2019-09-21 11:29:43.673,88,2019-09-21 11:31:12.096,14,10,50,90,20,30,40,50,60,59,58,57,56,55,54,,,,,,
2a5dc794-dd94-4bd0-a7c8-3f8bafb5e9ae,745,48,2019-09-21 11:30:08.710,50,2019-09-21 11:30:58.699,5,99,29,40,50,48,,,,,,,,,,,,,,,
